stars,user_idx,item_idx
5,16510,1697
5,16524,1697
4,16542,1697
1,16588,1697
5,16599,1697
5,16602,1697
5,16606,1697
4,16615,1697
5,16621,1697
5,16625,1697
5,16638,1697
5,16645,1697
5,16646,1697
5,16652,1697
5,16657,1697
5,16660,1697
5,16662,1697
5,16677,1697
5,16679,1697
5,16689,1697
5,16692,1697
4,16700,1697
2,16715,1697
5,16723,1697
5,16734,1697
3,16741,1697
5,16748,1697
1,16752,1697
5,16762,1697
5,16766,1697
5,16773,1697
5,16776,1697
3,16777,1697
1,16779,1697
5,16780,1697
5,16784,1697
5,16799,1697
5,16800,1697
4,16805,1697
5,16810,1697
5,16816,1697
5,16823,1697
5,16825,1697
1,16831,1697
5,16833,1697
2,16842,1697
4,16853,1697
2,16857,1697
1,16873,1697
5,16877,1697
5,16887,1697
5,16889,1697
4,16890,1697
5,16899,1697
3,16900,1697
5,16905,1697
4,16915,1697
5,16917,1697
1,16929,1697
4,16930,1697
5,16943,1697
5,16948,1697
5,16962,1697
5,16965,1697
4,16967,1697
1,16974,1697
5,16981,1697
5,16983,1697
5,16986,1697
1,16993,1697
5,16998,1697
4,16999,1697
5,17002,1697
5,17007,1697
1,17008,1697
3,17011,1697
5,17014,1697
1,17022,1697
1,17024,1697
5,17025,1697
5,17026,1697
5,17028,1697
5,17029,1697
3,17030,1697
5,17035,1697
5,17041,1697
5,17043,1697
3,17046,1697
5,17049,1697
5,17054,1697
5,17056,1697
5,17057,1697
5,17058,1697
5,17065,1697
2,17068,1697
5,17069,1697
1,17076,1697
3,17079,1697
5,17084,1697
1,17089,1697
4,17090,1697
5,17091,1697
5,17096,1697
5,17098,1697
3,17099,1697
4,17106,1697
5,17108,1697
1,17109,1697
4,17112,1697
5,17114,1697
4,17115,1697
1,17116,1697
5,17121,1697
5,17122,1697
5,17125,1697
2,17127,1697
4,17131,1697
5,17133,1697
5,17134,1697
5,17135,1697
5,17143,1697
3,17144,1697
5,17153,1697
1,17154,1697
4,17164,1697
5,17166,1697
4,17170,1697
5,17171,1697
5,17172,1697
5,17173,1697
5,17178,1697
5,17181,1697
5,17182,1697
5,17187,1697
4,17190,1697
5,17195,1697
5,17196,1697
2,17197,1697
5,17201,1697
5,17202,1697
1,17204,1697
5,17211,1697
5,17219,1697
4,17220,1697
5,17221,1697
5,17235,1697
5,17242,1697
5,17252,1697
5,17253,1697
5,17256,1697
5,17257,1697
5,17260,1697
5,17261,1697
4,17264,1697
5,17271,1697
4,17277,1697
5,17280,1697
5,17285,1697
5,17289,1697
4,17290,1697
4,17293,1697
5,17294,1697
5,17295,1697
5,17298,1697
4,17303,1697
5,17304,1697
5,17305,1697
4,17308,1697
5,17309,1697
3,17323,1697
4,17324,1697
5,17333,1697
2,17336,1697
5,17341,1697
5,17343,1697
5,17345,1697
3,17348,1697
5,17352,1697
5,17361,1697
2,17363,1697
5,17369,1697
4,17372,1697
5,17379,1697
5,17383,1697
5,17396,1697
5,17398,1697
4,17400,1697
5,17425,1697
5,17431,1697
5,17435,1697
5,17436,1697
2,17458,1697
5,17462,1697
4,17463,1697
5,17469,1697
5,17471,1697
5,17473,1697
4,17479,1697
4,18225,1697
3,18230,1697
1,18234,1697
5,18238,1697
5,18248,1697
5,18250,1697
5,18259,1697
5,18261,1697
5,18262,1697
5,18263,1697
1,18275,1697
5,18286,1697
3,18287,1697
5,18296,1697
5,18308,1697
5,18317,1697
5,18320,1697
1,18324,1697
5,18326,1697
5,18328,1697
5,18332,1697
5,18338,1697
3,18340,1697
3,18341,1697
1,18342,1697
5,18353,1697
4,18354,1697
5,18357,1697
5,18363,1697
5,18369,1697
5,18371,1697
3,18379,1697
4,18404,1697
5,18405,1697
5,18406,1697
5,18407,1697
5,18408,1697
4,18409,1697
1,18410,1697
5,18411,1697
5,18412,1697
4,18413,1697
5,18414,1697
5,18415,1697
4,18416,1697
4,18417,1697
5,18418,1697
5,18419,1697
5,18420,1697
1,18421,1697
1,18422,1697
2,18423,1697
5,18424,1697
5,18425,1697
5,18426,1697
5,18427,1697
4,18428,1697
5,18429,1697
5,18430,1697
3,18431,1697
5,18432,1697
3,18433,1697
4,18434,1697
1,18435,1697
5,18436,1697
5,18437,1697
5,18438,1697
5,18439,1697
1,18440,1697
1,18441,1697
5,18442,1697
5,18443,1697
1,18444,1697
1,18445,1697
3,18446,1697
4,18447,1697
5,18448,1697
4,18449,1697
3,18450,1697
4,18451,1697
4,18452,1697
1,18453,1697
5,18454,1697
3,18455,1697
5,18456,1697
5,18457,1697
1,18458,1697
5,18459,1697
5,18460,1697
1,18461,1697
1,18462,1697
1,18463,1697
4,18464,1697
1,18465,1697
5,18466,1697
5,18467,1697
4,18468,1697
5,18469,1697
1,18470,1697
4,18471,1697
5,18472,1697
4,18473,1697
4,18474,1697
4,18475,1697
5,18476,1697
5,18477,1697
5,18478,1697
5,18479,1697
5,18480,1697
4,18481,1697
4,18482,1697
2,18483,1697
4,18484,1697
1,18485,1697
3,18486,1697
5,18487,1697
5,18488,1697
1,18489,1697
5,18490,1697
5,18491,1697
5,18492,1697
4,18493,1697
2,18494,1697
1,18495,1697
3,18496,1697
5,18497,1697
5,18498,1697
5,18499,1697
5,18500,1697
4,18501,1697
5,18502,1697
4,18503,1697
3,18504,1697
1,18505,1697
2,18506,1697
4,18507,1697
1,18508,1697
5,18509,1697
5,18510,1697
5,18511,1697
1,18512,1697
4,18513,1697
5,18514,1697
4,18515,1697
5,18516,1697
5,18517,1697
2,18518,1697
5,18519,1697
5,18520,1697
5,18521,1697
5,18522,1697
4,18523,1697
5,18524,1697
5,18525,1697
3,18526,1697
5,18527,1697
3,18528,1697
5,18529,1697
3,18530,1697
3,18531,1697
5,18532,1697
4,18533,1697
5,18534,1697
5,18535,1697
5,18536,1697
2,18537,1697
5,18538,1697
3,18539,1697
5,18540,1697
5,18541,1697
5,18542,1697
1,18543,1697
3,18544,1697
4,18545,1697
4,18546,1697
5,18547,1697
5,18548,1697
3,18549,1697
5,18550,1697
5,18551,1697
3,18552,1697
5,18553,1697
1,18554,1697
3,18555,1697
4,18556,1697
5,18557,1697
5,18558,1697
5,18559,1697
5,18560,1697
3,18561,1697
4,18562,1697
5,18563,1697
5,18564,1697
5,18565,1697
4,18566,1697
1,18567,1697
5,18568,1697
2,18569,1697
2,18570,1697
1,18571,1697
5,18572,1697
4,18573,1697
1,18574,1697
5,18575,1697
4,18576,1697
4,18577,1697
5,18578,1697
5,18579,1697
5,18580,1697
5,18581,1697
5,18582,1697
2,18583,1697
5,18584,1697
5,18585,1697
1,18586,1697
4,18587,1697
5,18588,1697
5,18589,1697
3,18590,1697
5,18591,1697
4,18592,1697
5,18593,1697
5,18594,1697
4,18595,1697
2,18596,1697
3,18597,1697
5,18598,1697
5,18599,1697
5,18600,1697
4,18601,1697
5,18602,1697
2,18603,1697
5,18604,1697
5,18605,1697
5,18606,1697
4,18607,1697
5,18608,1697
5,18609,1697
1,18610,1697
4,18611,1697
2,18612,1697
4,18613,1697
3,18614,1697
4,18615,1697
5,18616,1697
4,18617,1697
5,18618,1697
5,18619,1697
1,18620,1697
5,18621,1697
4,18622,1697
5,18623,1697
5,18624,1697
5,18625,1697
1,18626,1697
5,18627,1697
3,18628,1697
1,18629,1697
5,18630,1697
5,18631,1697
1,18632,1697
4,18633,1697
2,18634,1697
5,18635,1697
4,18636,1697
2,18637,1697
3,18638,1697
4,18639,1697
5,18640,1697
5,18641,1697
5,18642,1697
1,18643,1697
1,18644,1697
3,18645,1697
2,18646,1697
4,18647,1697
3,18648,1697
5,18649,1697
4,18650,1697
4,18651,1697
3,18652,1697
5,18653,1697
2,18654,1697
4,18655,1697
3,18656,1697
1,18657,1697
5,18658,1697
1,18659,1697
5,18660,1697
5,18661,1697
1,18662,1697
4,18663,1697
2,18664,1697
5,18665,1697
1,18666,1697
5,18667,1697
5,18668,1697
2,18669,1697
1,18670,1697
5,18671,1697
5,18672,1697
4,18673,1697
5,18674,1697
1,18675,1697
5,18676,1697
1,18677,1697
5,18678,1697
5,18679,1697
5,18680,1697
5,18681,1697
1,18682,1697
5,18683,1697
5,18684,1697
2,18685,1697
4,18686,1697
5,18687,1697
4,18688,1697
1,18689,1697
3,18690,1697
4,18691,1697
1,18692,1697
5,18693,1697
5,18694,1697
5,18695,1697
5,18696,1697
4,18697,1697
5,18698,1697
5,18699,1697
5,18700,1697
4,18701,1697
5,18702,1697
5,18703,1697
2,18704,1697
5,18705,1697
2,18706,1697
4,18707,1697
5,18708,1697
5,18709,1697
5,18710,1697
5,18711,1697
3,18712,1697
4,18713,1697
4,18714,1697
4,18715,1697
5,18716,1697
5,18717,1697
5,18718,1697
5,18719,1697
5,18720,1697
1,18721,1697
4,18722,1697
5,18723,1697
1,18724,1697
3,18725,1697
1,18726,1697
3,18727,1697
5,18728,1697
4,18729,1697
4,18730,1697
1,18731,1697
5,18732,1697
1,18733,1697
3,18734,1697
3,18735,1697
5,18736,1697
5,18737,1697
5,18738,1697
5,18739,1697
5,18740,1697
5,18741,1697
4,18742,1697
5,18743,1697
3,18744,1697
1,18745,1697
4,18746,1697
5,18747,1697
5,18748,1697
2,18749,1697
1,18750,1697
5,18751,1697
1,18752,1697
3,18753,1697
4,18754,1697
5,18755,1697
1,18756,1697
5,18757,1697
5,18758,1697
3,18759,1697
4,18760,1697
3,18761,1697
4,18762,1697
5,18763,1697
5,18764,1697
2,18765,1697
1,18766,1697
4,18767,1697
5,18768,1697
5,18769,1697
3,18770,1697
5,18771,1697
4,18772,1697
4,18773,1697
5,18774,1697
3,18775,1697
5,18776,1697
3,18777,1697
5,18778,1697
1,18779,1697
3,18780,1697
5,18781,1697
4,18782,1697
1,18783,1697
1,18784,1697
5,18785,1697
1,18786,1697
5,18787,1697
2,18788,1697
2,18789,1697
3,18790,1697
5,18791,1697
5,18792,1697
4,18793,1697
4,18794,1697
1,18795,1697
4,18796,1697
5,18797,1697
1,18798,1697
5,18799,1697
5,18800,1697
5,18801,1697
2,18802,1697
5,18803,1697
5,18804,1697
5,18805,1697
3,18806,1697
4,18807,1697
5,18808,1697
1,18809,1697
5,18810,1697
4,18811,1697
3,18812,1697
3,18813,1697
1,18814,1697
5,18815,1697
5,18816,1697
3,18817,1697
2,18818,1697
4,18819,1697
5,18820,1697
4,18821,1697
4,18822,1697
1,18823,1697
2,18824,1697
1,18825,1697
5,18826,1697
5,18827,1697
5,18828,1697
5,18829,1697
3,18830,1697
5,18831,1697
5,18832,1697
5,18833,1697
5,18834,1697
5,18835,1697
5,18836,1697
5,18837,1697
4,18838,1697
2,18839,1697
5,18840,1697
1,18841,1697
1,18842,1697
4,18843,1697
1,18844,1697
5,18845,1697
5,18846,1697
1,18847,1697
3,18848,1697
1,18849,1697
4,18850,1697
3,18851,1697
4,18852,1697
2,18853,1697
2,18854,1697
4,18855,1697
2,18856,1697
4,18857,1697
5,18858,1697
5,18859,1697
1,18860,1697
4,18861,1697
5,18862,1697
5,18863,1697
2,18864,1697
4,18865,1697
5,18866,1697
4,18867,1697
3,18868,1697
1,18869,1697
1,18870,1697
1,18871,1697
1,18872,1697
3,18873,1697
4,18874,1697
4,18875,1697
5,18876,1697
3,18877,1697
5,18878,1697
3,18879,1697
3,18880,1697
4,18881,1697
4,18882,1697
5,18883,1697
5,18884,1697
2,18885,1697
3,18886,1697
2,18887,1697
5,18888,1697
1,18889,1697
5,18890,1697
4,18891,1697
3,18892,1697
1,18893,1697
5,18894,1697
5,18895,1697
5,18896,1697
5,18897,1697
3,18898,1697
3,18899,1697
5,18900,1697
5,18901,1697
5,18902,1697
5,18903,1697
5,18904,1697
5,18905,1697
1,18906,1697
5,18907,1697
4,18908,1697
5,18909,1697
5,18910,1697
3,18911,1697
5,18912,1697
5,18913,1697
3,18914,1697
5,18915,1697
3,18916,1697
5,18917,1697
5,18918,1697
4,18919,1697
4,18920,1697
1,18921,1697
1,18922,1697
5,18923,1697
4,18924,1697
3,18925,1697
5,18926,1697
5,18927,1697
5,18928,1697
4,18929,1697
5,18930,1697
5,18931,1697
2,18932,1697
1,18933,1697
5,18934,1697
5,18935,1697
5,18936,1697
2,18937,1697
2,18938,1697
1,18939,1697
4,18940,1697
1,18941,1697
3,18942,1697
1,18943,1697
5,18944,1697
5,18945,1697
5,18946,1697
4,18947,1697
1,18948,1697
1,18949,1697
4,18950,1697
5,18951,1697
1,18952,1697
5,18953,1697
5,18954,1697
5,18955,1697
5,18956,1697
2,18957,1697
3,18958,1697
4,18959,1697
5,18960,1697
5,18961,1697
3,18962,1697
3,18963,1697
5,18964,1697
4,18965,1697
4,18966,1697
1,18967,1697
4,18968,1697
4,18969,1697
5,18970,1697
3,18971,1697
4,18972,1697
5,18973,1697
1,18974,1697
5,18975,1697
4,18976,1697
5,18977,1697
4,18978,1697
5,18979,1697
5,18980,1697
2,18981,1697
5,18982,1697
3,18983,1697
5,18984,1697
3,18985,1697
5,18986,1697
5,18987,1697
3,18988,1697
5,18989,1697
1,18990,1697
5,18991,1697
5,18992,1697
5,18993,1697
1,18994,1697
5,18995,1697
1,18996,1697
4,18997,1697
5,18998,1697
3,18999,1697
5,19000,1697
2,19001,1697
5,19002,1697
3,19003,1697
5,19004,1697
4,19005,1697
4,19006,1697
5,19007,1697
5,19008,1697
3,19009,1697
3,19010,1697
4,19011,1697
4,19012,1697
2,19013,1697
4,19014,1697
4,19015,1697
5,19016,1697
5,19017,1697
4,19018,1697
5,19019,1697
5,19020,1697
5,19021,1697
3,19022,1697
5,19023,1697
4,19024,1697
4,19025,1697
3,19026,1697
3,19027,1697
3,19028,1697
4,19029,1697
1,19030,1697
1,19031,1697
5,19032,1697
5,19033,1697
5,19034,1697
4,19035,1697
4,19036,1697
5,19037,1697
4,19038,1697
3,19039,1697
2,19040,1697
5,19041,1697
5,19042,1697
4,19043,1697
5,19044,1697
3,19045,1697
5,19046,1697
5,19047,1697
5,19048,1697
5,19049,1697
3,19050,1697
5,19051,1697
1,19052,1697
5,19053,1697
5,19054,1697
3,19055,1697
1,19056,1697
3,19057,1697
2,19058,1697
1,19059,1697
5,19060,1697
3,19061,1697
3,19062,1697
5,19063,1697
5,19064,1697
2,19065,1697
4,19066,1697
5,19067,1697
5,19068,1697
3,19069,1697
4,19070,1697
1,19071,1697
4,19072,1697
3,19073,1697
5,19074,1697
4,19075,1697
5,19076,1697
5,19077,1697
5,19078,1697
2,19079,1697
4,19080,1697
5,19081,1697
1,19082,1697
4,19083,1697
1,19084,1697
3,19085,1697
1,19086,1697
1,19087,1697
4,19088,1697
1,19089,1697
3,19090,1697
5,19091,1697
4,19092,1697
5,19093,1697
5,19094,1697
5,19095,1697
5,19096,1697
4,19097,1697
5,19098,1697
5,19099,1697
1,19100,1697
1,19101,1697
5,19102,1697
1,19103,1697
5,19104,1697
5,19105,1697
4,19106,1697
5,19107,1697
4,19108,1697
5,19109,1697
5,19110,1697
5,19111,1697
4,19112,1697
5,19113,1697
4,19114,1697
5,19115,1697
4,19116,1697
1,19117,1697
5,19118,1697
5,19119,1697
5,19120,1697
5,19121,1697
5,19122,1697
5,19123,1697
4,19124,1697
5,19125,1697
5,19126,1697
5,19127,1697
2,19128,1697
5,19129,1697
3,19130,1697
5,19131,1697
5,19132,1697
5,19133,1697
2,19134,1697
5,19135,1697
5,19136,1697
4,19137,1697
2,19138,1697
3,19139,1697
5,19140,1697
5,19141,1697
5,19142,1697
4,19143,1697
5,19144,1697
5,19145,1697
5,19146,1697
4,19147,1697
1,19148,1697
5,19149,1697
1,19150,1697
5,19151,1697
1,19152,1697
4,19153,1697
4,19154,1697
1,19155,1697
3,19156,1697
3,19157,1697
4,19158,1697
5,19159,1697
4,19160,1697
5,19161,1697
4,19162,1697
5,19163,1697
1,19164,1697
4,19165,1697
4,19166,1697
5,19167,1697
5,19168,1697
5,19169,1697
5,19170,1697
5,19171,1697
3,19172,1697
5,19173,1697
5,19174,1697
5,19175,1697
5,19176,1697
4,19177,1697
4,19178,1697
5,19179,1697
5,19180,1697
3,19181,1697
5,19182,1697
3,19183,1697
5,19184,1697
3,19185,1697
5,19186,1697
5,19187,1697
5,19188,1697
4,19189,1697
5,19190,1697
4,19191,1697
4,19192,1697
5,19193,1697
4,19194,1697
4,19195,1697
5,19196,1697
1,19197,1697
5,19198,1697
5,19199,1697
5,19200,1697
5,19201,1697
5,19202,1697
4,19203,1697
5,19204,1697
4,19205,1697
5,19206,1697
4,19207,1697
5,19208,1697
5,19209,1697
5,19210,1697
1,19211,1697
5,19212,1697
5,19213,1697
5,19214,1697
4,19215,1697
5,19216,1697
5,19217,1697
5,19218,1697
5,19219,1697
3,19220,1697
5,19221,1697
5,19222,1697
5,19223,1697
5,19224,1697
4,19225,1697
4,19226,1697
5,19227,1697
2,19228,1697
5,19229,1697
4,19230,1697
5,19231,1697
5,19232,1697
4,19233,1697
5,19234,1697
5,19235,1697
1,19236,1697
4,19237,1697
4,19238,1697
4,19239,1697
1,19240,1697
4,19241,1697
5,19242,1697
5,19243,1697
4,19244,1697
1,19245,1697
4,19246,1697
4,19247,1697
1,19248,1697
3,19249,1697
4,19250,1697
2,19251,1697
4,19252,1697
3,19253,1697
1,19254,1697
5,19255,1697
5,19256,1697
5,19257,1697
5,19258,1697
4,19259,1697
5,19260,1697
3,19261,1697
5,19262,1697
4,19263,1697
5,19264,1697
5,19265,1697
4,19266,1697
5,19267,1697
5,19268,1697
5,19269,1697
5,19270,1697
5,19271,1697
5,19272,1697
5,19273,1697
4,19274,1697
4,19275,1697
5,19276,1697
5,19277,1697
5,19278,1697
3,19279,1697
5,19280,1697
5,19281,1697
5,19282,1697
2,19283,1697
2,19284,1697
1,19285,1697
4,19286,1697
4,19287,1697
5,19288,1697
4,19289,1697
5,19290,1697
5,19291,1697
5,19292,1697
5,19293,1697
4,19294,1697
5,19295,1697
5,19296,1697
4,19297,1697
5,19298,1697
4,19299,1697
5,19300,1697
4,19301,1697
5,19302,1697
5,19303,1697
5,19304,1697
5,19305,1697
2,19306,1697
4,19307,1697
2,19308,1697
5,19309,1697
4,19310,1697
2,19311,1697
2,19312,1697
1,19313,1697
5,19314,1697
1,19315,1697
5,19316,1697
4,19317,1697
5,19318,1697
3,19319,1697
1,19320,1697
3,19321,1697
4,19322,1697
4,19323,1697
5,19324,1697
5,19325,1697
5,19326,1697
3,19327,1697
1,19328,1697
1,19329,1697
5,19330,1697
5,19331,1697
5,19332,1697
5,19333,1697
5,19334,1697
5,19335,1697
5,19336,1697
5,19337,1697
5,19338,1697
5,19339,1697
4,19340,1697
5,19341,1697
4,19342,1697
5,19343,1697
5,19344,1697
5,19345,1697
5,19346,1697
4,19347,1697
4,19348,1697
5,19349,1697
5,19350,1697
5,19351,1697
5,19352,1697
3,19353,1697
5,19354,1697
5,19355,1697
5,19356,1697
5,19357,1697
5,19358,1697
4,19359,1697
5,19360,1697
5,19361,1697
5,19362,1697
5,19363,1697
4,19364,1697
4,19365,1697
5,19366,1697
5,19367,1697
5,19368,1697
5,19369,1697
5,19370,1697
5,19371,1697
2,19372,1697
4,19373,1697
5,19374,1697
4,19375,1697
5,19376,1697
5,19377,1697
2,19378,1697
5,19379,1697
5,19380,1697
5,19381,1697
4,19382,1697
4,19383,1697
5,19384,1697
4,19385,1697
4,19386,1697
4,19387,1697
5,19388,1697
4,19389,1697
4,19390,1697
5,19391,1697
4,19392,1697
4,19393,1697
5,19394,1697
5,19395,1697
5,19396,1697
5,19397,1697
4,19398,1697
5,19399,1697
4,19400,1697
3,19401,1697
4,19402,1697
4,19403,1697
5,19404,1697
5,19405,1697
4,19406,1697
5,19407,1697
4,19408,1697
3,19409,1697
4,19410,1697
5,19411,1697
4,19412,1697
5,19413,1697
4,19414,1697
3,19415,1697
5,19416,1697
5,19417,1697
4,19418,1697
5,31266,1697
1,37152,1697
5,62408,1697
5,62461,1697
5,62462,1697
3,3,1722
5,6878,1722
5,15232,1722
5,15935,1722
5,16727,1722
5,16978,1722
4,17137,1722
4,17261,1722
5,18394,1722
4,18643,1722
5,18711,1722
5,18794,1722
5,18908,1722
5,18982,1722
2,18990,1722
5,19011,1722
5,19124,1722
5,19129,1722
5,19144,1722
5,19148,1722
5,19154,1722
1,19162,1722
5,19221,1722
4,19309,1722
4,20065,1722
5,20094,1722
5,22678,1722
4,23101,1722
2,25390,1722
2,26453,1722
5,27822,1722
4,27858,1722
5,28075,1722
5,28118,1722
5,31968,1722
4,33437,1722
4,35696,1722
4,35773,1722
5,37152,1722
5,37153,1722
5,37154,1722
4,37155,1722
5,37156,1722
4,37157,1722
5,37158,1722
5,37159,1722
5,37160,1722
5,37161,1722
5,37162,1722
5,37163,1722
4,37164,1722
5,37165,1722
5,37166,1722
5,37167,1722
1,37168,1722
4,37169,1722
4,37170,1722
3,37171,1722
5,37172,1722
4,37173,1722
1,37174,1722
3,37175,1722
5,37176,1722
2,37177,1722
4,37178,1722
5,37179,1722
5,37180,1722
5,37181,1722
5,37182,1722
5,37183,1722
4,37184,1722
4,37185,1722
4,37186,1722
5,37187,1722
4,37188,1722
5,37189,1722
3,37190,1722
1,37191,1722
5,37192,1722
5,37193,1722
2,63048,1722
5,63049,1722
5,10,1094
5,1723,1094
4,1834,1094
5,2765,1094
5,2893,1094
4,3054,1094
5,3055,1094
3,3056,1094
5,3057,1094
5,3058,1094
5,3059,1094
5,3060,1094
3,3061,1094
5,3062,1094
3,3063,1094
5,3064,1094
5,3065,1094
5,3066,1094
5,3067,1094
5,3068,1094
5,3069,1094
5,3070,1094
5,3071,1094
5,3072,1094
5,3073,1094
5,3074,1094
5,3075,1094
5,3076,1094
5,3077,1094
5,3078,1094
5,3079,1094
5,3080,1094
5,3081,1094
5,3082,1094
5,3083,1094
4,3084,1094
5,3085,1094
5,3086,1094
4,3087,1094
5,3088,1094
5,3089,1094
5,3090,1094
5,3091,1094
4,3092,1094
5,3093,1094
5,3094,1094
5,3095,1094
5,3096,1094
4,3097,1094
5,3098,1094
5,3099,1094
5,3100,1094
5,3101,1094
5,3102,1094
5,3103,1094
3,3104,1094
5,3105,1094
5,3106,1094
5,3107,1094
2,3108,1094
5,3109,1094
5,3110,1094
5,3111,1094
5,3112,1094
5,3113,1094
5,3114,1094
5,3115,1094
5,3116,1094
5,3117,1094
5,3118,1094
5,3119,1094
5,3120,1094
5,3121,1094
5,3122,1094
5,3123,1094
3,3124,1094
5,3125,1094
5,3126,1094
5,6859,1094
5,36210,1094
5,61661,1094
5,61662,1094
5,61663,1094
5,61664,1094
5,61665,1094
5,10,1182
5,3122,1182
5,3445,1182
5,4073,1182
5,5551,1182
5,6054,1182
5,7564,1182
5,7565,1182
5,7633,1182
5,7653,1182
5,12101,1182
5,14809,1182
5,14862,1182
5,15008,1182
5,24473,1182
5,25810,1182
5,30737,1182
5,48567,1182
5,48909,1182
5,53164,1182
5,53218,1182
5,53242,1182
4,53243,1182
4,53244,1182
5,53245,1182
5,53246,1182
4,53247,1182
5,53248,1182
5,53249,1182
4,53250,1182
5,53251,1182
4,11,457
3,92,457
2,581,457
3,1178,457
5,1535,457
2,1550,457
5,1703,457
5,2099,457
1,2133,457
5,2189,457
5,2209,457
5,2242,457
2,2276,457
3,2281,457
5,2293,457
4,2311,457
5,2395,457
1,2562,457
5,2820,457
4,2881,457
5,3063,457
5,3064,457
4,3108,457
2,3751,457
5,4080,457
5,4081,457
5,4163,457
5,4195,457
5,4593,457
1,4769,457
5,4878,457
5,5625,457
5,6359,457
5,6368,457
5,6370,457
5,6375,457
5,6412,457
4,6422,457
5,6427,457
5,6441,457
3,6449,457
4,6450,457
5,6497,457
5,6563,457
4,7199,457
5,7219,457
5,7293,457
5,7566,457
5,7717,457
4,8657,457
5,8882,457
5,8932,457
1,9313,457
5,9324,457
4,9851,457
5,9862,457
1,9908,457
5,10008,457
5,10039,457
5,10289,457
3,11549,457
3,12297,457
5,12659,457
5,12664,457
5,13542,457
1,13631,457
5,14640,457
2,15326,457
2,16113,457
5,17666,457
5,17686,457
2,17687,457
5,17726,457
4,17782,457
3,18041,457
5,18451,457
5,18513,457
5,18547,457
4,19844,457
5,20002,457
4,21174,457
5,22422,457
5,23834,457
4,24086,457
3,24453,457
2,24496,457
5,24642,457
5,24681,457
5,24759,457
3,25274,457
5,25401,457
1,25690,457
5,25841,457
4,26273,457
3,26295,457
5,26310,457
4,26327,457
5,26349,457
5,26375,457
4,26379,457
3,26390,457
3,26402,457
5,26437,457
5,26443,457
5,26466,457
5,26469,457
4,26474,457
5,26773,457
5,27278,457
5,27305,457
5,27305,457
5,27317,457
5,27646,457
4,27678,457
4,28027,457
5,28225,457
5,28791,457
5,29294,457
2,29375,457
4,29864,457
2,31357,457
5,31359,457
4,31362,457
5,33730,457
5,34059,457
5,34545,457
5,34566,457
5,34714,457
4,34975,457
5,35016,457
5,35061,457
5,35107,457
4,35476,457
5,36877,457
2,37318,457
5,37341,457
5,37436,457
5,37446,457
5,39330,457
5,40251,457
1,40365,457
1,40463,457
5,41200,457
5,41465,457
2,42206,457
